motivo;n_acta;fecha_visita;fecha_ingreso;n_inscripcion;zona;barrio  ;local_const;condicion_p_p_d;techos_puert_ilumi_venti ;instal_sanita ;instal_sanita2;edificios_instal;capacidad_dis_fun_equi_uten;superf_con_alime;equip_utens;estado_salud ;recon_medic;pract_higie_dota ;capaci_mani_higie_alim;pers_mani_aliment;sumin_agua_pot;resid_soli;resid_liqui;control_plag;limpie_des_area;soport_doc_sanea;saneamiento;condi_almac;manejo_pro_refri;manejo_pro_ambiente;almac_comerc;proce_req_legal;requi_legales;p_cumplimiento
PROGRAMACION;219;26/05/2020;20/06/2020;NO PRESENTA;URBANA;CHICAMOCHA;2;1;2;1;2;7,75;2;2;12;2;2;2;2;20;1;2;2;2;2;0;21,5;1;2;2;21;2;5;87,25
PROGRAMACION;220;26/05/2020;20/06/2020;1,58E+12;URBANA;SAN ANDRESITO;2;2;2;1;2;8,5;2;2;12;2;1;2;1;16;1;2;1;2;2;0;20,25;1;2;2;21;2;5;82,75
PROGRAMACION;221;30/05/2020;20/06/2020;NO PRESENTA;URBANA;PUENTE PESCA;2;1;1;1;2;7;2;1;9;1;0;1;0;6;0;2;1;2;2;0;17,75;1;1;2;16,5;2;5;61,25
PROGRAMACION;222;29/05/2020;22/06/2020;1,58E+12;URBANA;SANTA CATALINA;2;1;2;2;2;9,25;2;2;12;2;1;2;1;16;2;2;2;2;2;0;24;1;2;1;17;1;2,5;80,75
PROGRAMACION;223;6/05/2020;15/06/2020;1,58E+14;URBANA;GUSTAVO  JIMENEZ;2;2;2;1;2;8,5;2;2;12;2;0;1;1;11,5;2;2;0;2;2;0;21,5;2;2;2;25;2;5;83,5
PROGRAMACION;224;7/05/2020;15/06/2020;1,58E+11;URBANA;OASIS;2;2;2;0;1;6;2;1;9;2;0;1;0;9;1;2;2;2;1;0;18,5;1;2;2;21;2;5;68,5
PROGRAMACION;225;9/06/2020;29/06/2020;1,58E+14;URBANA;CIUDAD VERDE;2;2;2;1;2;8,5;2;2;12;2;0;2;0;12;2;2;2;2;2;0;24;2;2;2;25;2;5;86,5
PROGRAMACION;226;4/06/2020;29/06/2020;1,58E+12;URBANA;SUGAMUXI;2;2;2;2;2;10;2;2;12;2;2;1;2;17;1;2;2;2;2;0;21,5;2;2;2;25;2;5;90,5
PROGRAMACION;227;2/07/2020;13/07/2020;1,58E+11;URBANA;VALDES TAVERA;2;2;2;2;2;10;2;2;12;2;1;1;2;15,5;1;2;2;2;2;0;21,5;2;2;2;25;2;5;89
PROGRAMACION;228;2/07/2020;13/07/2020;1,58E+12;URBANA;VALDES TAVERA;2;1;2;1;2;7,75;2;2;12;2;1;1;1;13;1;2;2;2;2;0;21,5;2;2;2;25;2;5;84,25
SEGUIMIENTO;229;30/06/2020;13/07/2020;1,58E+12;URBANA;SANTA INES;2;2;2;0;2;7;2;2;12;2;2;2;2;20;2;2;2;2;2;0;24;2;2;2;25;2;5;93
PROGRAMACION;230;25/06/2020;13/07/2020;1,58E+12;URBANA;SANTA INES;2;2;2;2;2;10;2;2;12;2;1;2;2;18,5;2;2;2;2;2;1;26;2;2;2;25;2;5;96,5
PROGRAMACION;231;25/06/2020;13/07/2020;1,58E+14;URBANA;SANTA INES;2;2;2;2;1;9;2;2;12;2;1;2;1;16;2;2;2;2;2;2;28;2;2;2;25;2;5;95
SEGUIMIENTO;232;25/06/2020;13/07/2020;1,58E+12;URBANA;OLAYA HERRERA;2;2;2;2;2;10;2;2;12;1;1;2;2;15,5;2;2;2;2;2;1;26;2;2;2;25;2;5;93,5
PROGRAMACION;233;24/06/2020;13/07/2020;1,58E+12;URBANA;OLAYA HERRERA;2;2;2;2;2;10;2;2;12;2;1;2;0;13,5;2;2;2;2;2;0;24;2;2;2;25;2;5;89,5
PROGRAMACION;234;26/06/2020;13/07/2020;1,58E+12;URBANA;EL SOL;2;2;2;2;2;10;2;2;12;2;0;1;0;9;2;2;2;2;1;0;21;2;2;2;25;2;5;82
PROGRAMACION;235;26/06/2020;13/07/2020;1,58E+12;URBANA;EL SOL;2;2;2;1;2;8,5;2;2;12;2;0;2;0;12;2;2;2;2;2;0;24;2;2;2;25;2;5;86,5
PROGRAMACION;236;17/06/2020;2/07/2020;1,58E+14;URBANA;EL CORTES;2;1;2;1;2;7,75;1;1;6;2;0;2;0;12;2;2;2;2;1;0;21;2;2;2;25;2;5;76,75
PROGRAMACION;237;8/06/2020;2/07/2020;1,58E+12;URBANA;GUSTAVO JIMENEZ;2;1;2;0;2;6,25;2;2;12;2;0;2;0;12;2;2;2;2;2;0;24;2;2;2;25;2;5;84,25
PROGRAMACION;238;8/06/2020;2/07/2020;1,58E+12;URBANA;GUSTAVO JIMENEZ;2;1;2;2;2;9,25;2;2;12;2;2;2;2;20;2;2;2;2;2;0;24;2;2;2;25;2;5;95,5
