motivo;n_acta;fecha_visita;fecha_ingreso;n_inscripcion;zona;barrio  ;local_const;condicion_p_p_d;techos_puert_ilumi_venti ;instal_sanita ;edificios_instal;capacidad_dis_fun_equi_uten;superf_con_alime;equip_utens;estado_salud ;recon_medic;pract_higie_dota ;capaci_mani_higie_alim;pers_mani_aliment;control_mat_pri;preven_contam;mane_temp;condi_almac;req_higien;sumin_agua_pot;resid_liqui;resid_soli;control_plag;limpie_des_area;soport_doc_sanea;saneamiento;p_cumplimiento
PROGRAMACION;85;9/09/2020;8/10/2020;1,58E+12;URBANA;LAGUITO;2;1;1;1;6;1;1;6;1;1;1;0;8;1;2;1;2;19;1;2;1;2;1;0;22;61
PROGRAMACION;86;29/09/2020;23/10/2020;1,58E+14;URBANA;CATALU¾A;1;2;1;2;8;2;2;12;1;2;1;1;11;1;2;1;1;17;1;2;2;2;1;1;25;73
PROGRAMACION;87;1/10/2020;23/10/2020;1,58E+12;URBANA;20 DE JULIO;2;1;1;1;6;1;1;6;1;0;1;0;7;1;2;1;1;17;1;2;2;2;1;0;24;60
PROGRAMACION;88;1/10/2020;23/10/2020;NO PRESENTA;URBANA;20 DE JULIO;1;1;1;1;5;2;2;12;1;0;1;0;7;1;2;1;1;17;1;1;1;2;2;0;23,5;64.5
PROGRAMACION;89;24/09/2020;23/10/2020;1,58E+12;URBANA;EL PRADO;2;1;1;1;6;2;2;12;1;0;1;0;7;1;2;1;1;17;1;2;1;2;1;0;22;64
PROGRAMACION;90;2/09/2020;29/10/2020;1,58E+12;URBANA;CENTRO;2;2;2;2;10;2;1;8,5;1;2;1;1;11;1;2;1;2;19;1;1;1;2;2;0;23,5;72
PROGRAMACION;91;2/09/2020;29/10/2020;1,58E+14;URBANA;TERMINAL;2;1;1;1;6;2;2;12;1;2;1;0;9;1;2;2;1;20,5;1;2;2;2;1;1;24;71.5
PROGRAMACION;92;4/09/2020;29/10/2020;1,58E+14;URBANA;SAN MARTIN CENTRO;1;2;1;2;8;2;1;8,5;1;2;1;2;13;1;2;1;1;17;1;2;2;2;1;0;24;70.5
PROGRAMACION;93;23/10/2020;10/11/2020;1,58E+14;URBANA;LA ISLA;2;1;2;1;7;1;2;9,5;1;0;1;0;7;1;2;2;1;20,5;1;2;1;2;1;1;24;68
PROGRAMACION;94;16/10/2020;13/11/2020;1,58E+14;URBANA;LAGUITO;2;1;1;1;6;1;1;6;1;0;1;0;7;1;2;1;2;19;1;2;1;2;1;0;22;60
PROGRAMACION;95;16/10/2020;13/11/2020;1,68E+14;URBANA;LAGUITO;1;1;2;2;8;1;1;6;1;0;2;1;12,5;1;2;1;2;18,5;2;1;2;2;1;1;26,5;71.5
PROGRAMACION;96;22/10/2020;17/11/2020;1,58E+12;URBANA;UNIVERSITARIO;2;1;2;1;7;2;1;8,5;1;1;1;1;10;1;2;1;2;19;1;2;2;2;2;0;27,5;72
PROGRAMACION;97;21/10/2020;17/11/2020;1,58E+11;URBANA;VALDEZ TAVERA;2;1;1;1;6;2;1;8,5;1;0;1;1;9;1;2;2;1;20,5;1;2;1;0;1;0;13;57
PROGRAMACION;98;22/10/2020;17/11/2020;1,58E+14;URBANA;LA VILLITA;2;1;2;1;7;1;1;6;1;1;1;1;10;1;2;1;1;17;1;2;1;2;1;0;22;62
PROGRAMACION;99;20/10/2020;18/11/2020;NO PRESENTA;URBANA;PLAZA DE  MERCADO;1;1;2;1;6;2;2;12;1;0;1;0;7;1;2;2;1;21,5;1;1;1;2;1;0;20;66.5
PROGRAMACION;100;27/10/2020;18/11/2020;NO PRESENTA;URBANA;NO PRESENTA;2;2;1;1;7;2;2;12;1;0;1;0;7;1;2;1;2;19;1;2;1;2;2;0;25,5;70.5
PROGRAMACION;101;20/10/2020;18/11/2020;1,58E+11;URBANA;NO PRESENTA;2;2;2;2;10;2;2;12;1;2;1;1;11;1;2;1;2;19;2;2;2;2;1;1;28,5;80.5
PROGRAMACION;102;22/10/2020;18/11/2020;1,58E+12;URBANA;NO PRESENTA;2;2;2;1;8;2;2;12;1;0;1;0;7;1;2;1;1;17;1;2;1;2;2;0;25,5;69.5
PROGRAMACION;103;20/10/2020;18/11/2020;NO PRESENTA;URBANA;PLAZA DE  MERCADO;1;2;2;2;9;2;2;12;1;0;1;0;7;1;2;2;2;22,5;1;1;2;2;1;0;22;72.5
PROGRAMACION;104;20/10/2020;18/11/2020;1,58E+12;URBANA;PLAZA DE  MERCADO;1;2;2;2;9;2;2;12;1;0;2;0;10,5;1;2;2;2;22,5;1;2;2;2;1;0;24;78
PROGRAMACION;105;21/10/2020;18/11/2020;1,58E+14;URBANA;NO PRESENTA;2;2;1;1;7;1;2;9,5;1;0;1;0;7;1;2;1;2;19;1;2;1;2;1;0;22;64.5
PROGRAMACION;106;28/10/2020;19/11/2020;1,58E+12;URBANA;LA PRADERA;2;1;1;1;6;1;1;6;1;0;1;0;7;1;2;1;1;17;1;2;2;2;1;0;24;60
SOLICITUD DEL I;107;26/10/2020;21/11/2020;1,58E+11;URBANA;VALDEZ TAVERA;2;2;1;1;7;1;2;9,5;1;0;2;1;12,5;1;2;2;2;22,5;1;2;2;2;2;0;27,5;79
PROGRAMACION;108;28/10/2020;21/11/2020;1,58E+14;URBANA;NO PRESENTA;1;1;1;1;5;1;2;9,5;1;1;1;1;10;1;2;1;1;17;1;2;2;2;1;0;24;65.5
PROGRAMACION;109;26/10/2020;21/11/2020;1,58E+12;URBANA;NO PRESENTA;2;1;1;1;6;2;2;12;1;0;1;0;7;1;2;1;2;19;2;1;1;2;1;0;23,5;67.5
PROGRAMACION;110;26/10/2020;21/11/2020;1,58E+12;URBANA;NO PRESENTA;2;2;2;1;8;2;1;8,5;1;0;1;0;7;1;2;1;1;17;1;1;2;2;1;0;22;62.5
PROGRAMACION;111;6/11/2020;1/12/2020;1,58E+12;URBANA;LOS ARRAYANES;1;1;1;1;5;1;2;9,5;1;0;1;0;7;1;2;1;1;17;1;2;1;2;1;0;22;60.5
PROGRAMACION;112;5/11/2020;1/12/2020;1,58E+14;URBANA;ARRAYANES;1;1;2;1;6;1;2;9,5;1;0;1;1;9;1;2;1;1;17;1;2;1;2;1;0;22;63.5
PROGRAMACION;113;29/09/2020;1/12/2020;1,58E+12;URBANA;SIMON BOLIVAR;1;1;1;1;5;1;2;9,5;1;0;1;0;7;1;2;1;1;17;1;2;1;2;1;0;22;60.5
PROGRAMACION;114;3/11/2020;1/12/2020;1,58E+12;URBANA;LAGUITO;2;1;1;2;8;1;2;9,5;1;1;1;0;8;1;2;1;1;17;1;2;1;2;1;0;22;64.5
PROGRAMACION;115;12/11/2020;1/12/2020;1,58E+14;URBANA;NO PRESENTA;2;1;2;1;7;2;2;12;1;0;2;0;10,5;1;2;1;1;17;1;1;2;2;2;0;25,5;72
PROGRAMACION;116;19/11/2020;1/12/2020;1,58E+14;URBANA;NO PRESENTA;2;2;1;1;7;1;1;6;1;0;1;0;7;1;2;1;2;19;1;2;1;2;1;0;22;61
PROGRAMACION;117;20/11/2020;2/12/2020;1,58E+12;URBANA;UNIVERSITARIO;1;1;1;1;5;1;2;9,5;1;0;1;0;7;1;2;1;1;17;1;2;1;2;1;0;22;60.5
PROGRAMACION;118;4/11/2020;2/12/2020;1,58E+12;URBANA;VALDEZ TAVERA;2;1;1;1;6;2;1;8,5;1;0;1;0;7;1;2;1;1;17;1;2;1;2;1;0;22;60.5
PROGRAMACION;119;17/11/2020;3/12/2020;1,58E+14;URBANA;VILLA DEL SOL;1;1;1;1;5;1;2;9,5;1;0;1;0;7;1;2;1;1;17;1;2;1;2;1;0;22;60.5
PROGRAMACION;120;17/11/2020;3/12/2020;1,58E+12;URBANA;MAGDALENA;1;1;2;1;6;1;2;9,5;1;0;1;0;7;1;2;1;2;19;1;2;1;2;1;0;22;63.5
PROGRAMACION;121;17/11/2020;3/12/2020;NO PRESENTA;URBANA;NO PRESENTA;1;1;2;1;6;2;2;12;1;1;1;1;10;1;2;1;2;19;1;2;2;2;1;0;24;71
PROGRAMACION;122;17/11/2020;3/12/2020;1,58E+11;URBANA;VALDEZ TAVERA;1;1;2;1;6;1;2;9,5;2;2;1;2;16,5;1;2;1;1;17;1;2;1;2;1;0;22;71
