motivo;n_acta;fecha_visita;fecha_ingreso;n_inscripcion;zona;barrio  ;direccion_notificacion;local_const;condicion_p_p_d;techos_puert_ilumi_venti ;instal_sanita ;edificios_instal;capacidad_dis_fun_equi_uten;superf_con_alime;equip_utens;estado_salud ;recon_medic;pract_higie_dota ;capaci_mani_higie_alim;pers_mani_aliment;control_mat_pri;preven_contam;mane_temp;condi_almac;req_higien;sumin_agua_pot;resid_liqui;resid_soli;control_plag;limpie_des_area;soport_doc_sanea;saneamiento;p_cumplimiento
PROGRAMACION;39;26/05/2020;3/06/2020;1,58E+12;URBANA;CENTRO;CARRERA 12 N 16/79;1;1;1;1;5;1;2;9,5;2;1;2;1;17;1;2;0;1;13,5;1;2;1;2;1;1;23;68
PROGRAMACION;40;26/05/2020;3/06/2020;1,58E+12;URBANA;CENTRO;CALLE 15 N 12/35;2;1;1;1;6;2;2;12;2;2;1;2;16,5;2;2;1;1;19,5;1;2;1;2;1;1;23;77
PROGRAMACION;41;27/05/2020;3/06/2020;1,58E+12;URBANA;UNIVERSITARIO;CARRERA 18 N 2 B-17 SUR;1;1;1;1;5;1;2;9,5;2;0;2;0;14;1;2;1;1;17;2;2;1;2;1;1;26,5;72
PROGRAMACION;42;28/05/2020;3/06/2020;1,58E+14;URBANA;CENTRO;CARRERA 10 N 14/129;2;1;1;1;6;1;2;9,5;2;1;1;2;15,5;1;2;1;1;17;1;2;2;2;1;1;25;73
PROGRAMACION;43;28/05/2020;3/06/2020;1,58E+12;URBANA;ARRAYANES;CARRERA 18 N 2 BIS-30;1;1;1;1;5;1;2;9,5;2;2;1;0;12,5;1;2;1;1;17;1;2;1;2;1;0;22;66
PROGRAMACION;44;7/05/2020;1/06/2020;1,58E+12;URBANA;20 DE JULIO;CARRERA 18 N 11 B-10;2;1;1;1;0;1;2;9,5;2;1;2;1;17;1;2;1;1;17;1;2;2;2;1;0;24;73,5
PROGRAMACION;45;28/04/2020;1/06/2020;1,58E+12;URBANA;CENTRO;CARRERA 14 N 16/06;2;2;1;1;7;1;1;6;2;2;2;2;20;2;2;2;1;23;2;2;2;2;2;1;32;88
PROGRAMACION;46;16/04/2020;1/06/2020;1,58E+12;URBANA;CENTRO;CARRERA 11 N 16/40;2;2;1;2;9;2;2;12;1;0;2;0;10,5;1;2;2;2;22,5;1;2;2;2;1;0;24;78
PROGRAMACION;47;19/04/2020;1/06/2020;1,58E+14;URBANA;CENTRO;CALLE 4 N 15/21 LOCAL 3;2;1;1;1;6;2;2;12;1;1;1;0;8;1;2;2;1;20,5;1;2;2;2;1;1;25;71,5
PROGRAMACION;48;18/04/2020;1/06/2020;NO PRESENTA;URBANA;CENTRO;CALLE 15 N 12/48;2;1;1;1;6;1;2;9,5;2;0;1;0;10,5;1;2;1;2;19;1;2;2;2;2;0;27,5;72,5
PROGRAMACION;49;18/04/2020;1/06/2020;1,58E+13;URBANA;CENTRO;CALLE 13 N 13/90;2;2;2;1;8;2;2;12;2;0;2;0;14;1;2;2;2;22,5;2;2;2;2;1;1;28,5;85
PROGRAMACION;50;17/04/2020;1/06/2020;1,58E+13;URBANA;SAN MARTIN CENTRO;CARRERA 11 N 17/03;2;2;1;1;7;1;2;9,5;2;0;2;0;14;1;2;2;2;22,5;1;2;2;2;2;0;27,5;80,5
PROGRAMACION;51;21/04/2020;1/06/2020;1,58E+14;URBANA;EL ROSARIO;CARRERA 14 N 6 A-17;2;1;1;1;6;1;2;9,5;2;2;2;2;20;1;2;1;2;19;1;2;2;2;2;1;28,5;83
PROGRAMACION;52;21/04/2020;1/06/2020;1,58E+12;URBANA;EL ROSARIO;CARRERA 14 N 6/33;2;1;1;1;6;2;2;12;2;0;1;0;10,5;1;2;1;2;19;1;2;2;2;1;0;24;71,5
PROGRAMACION;53;20/04/2020;1/06/2020;1,58E+13;URBANA;CENTRO;CARRERA 10 N 16 A-44;2;1;1;1;6;1;2;9,5;2;2;1;2;16,5;1;2;1;2;19;1;2;2;2;1;0;24;75
PROGRAMACION;54;20/04/2020;1/06/2020;1,58E+12;URBANA;6 DE SPETIEMBRE;CALLE 15 N 12/36;2;2;1;1;7;1;2;9,5;2;2;2;2;20;2;2;1;1;19,5;2;2;2;2;1;1;28,5;84,5
PROGRAMACION;55;28/05/2020;25/06/2020;1,58E+13;URBANA;20 DE JULIO;CALLE 11 N 17/62;2;2;1;1;7;1;2;9,5;2;0;1;1;12,5;1;2;1;2;19;1;2;1;2;1;1;23;71
PROGRAMACION;56;27/05/2020;25/06/2020;1,58E+12;URBANA;COLOMBIA;CALLE 11 B N 23/66;2;1;1;1;6;1;2;9,5;2;0;1;2;14,5;1;2;1;2;19;1;2;2;2;1;0;24;73
PROGRAMACION;57;26/05/2020;28/06/2020;1,58E+12;URBANA;EL LAGUITO;CARRERA 11 N 23/30;2;1;1;1;6;2;2;12;2;0;1;2;14,5;2;2;1;1;19,5;1;2;1;2;1;0;22;74
PROGRAMACION;58;26/05/2020;28/06/2020;1,58E+14;URBANA;VALDES TAVERA;CARRERA 24 N 7 A 70;2;1;1;1;6;1;2;9,5;2;2;1;1;14,5;1;2;1;1;17;1;2;1;2;1;1;23;70
PROGRAMACION;59;25/06/2020;10/07/2020;1,58E+12;URBANA;SUCRE;CARRERA 12 N 46/32;2;1;2;1;7;1;2;9,5;2;0;1;0;10,5;1;2;1;1;17;1;2;1;2;1;0;22;66
